Part Name,Ref Des,Var Status,Qty,PART_NUMBER,DESCRIPTION,MFG_PN,MANUFACTURER,PRT_NUMBER
"RES_PHOENIX_0402-2K2,1%,1/16W,P584C,RC0402FR-072K2L","R33_F0_DIG0, R61_F0_DIG0",Pref,2,P584C,?,RC0402FR-072K2L,?,P584C
"RES_PHOENIX_0402-2K8,1%,1/16W,1RPR0,RC0402FR-072K8L",R37_CG,Pref,1,1RPR0,?,RC0402FR-072K8L,?,1RPR0
"RES_PHOENIX_0402-33R,1%,1/16W,WG4NN,CRCW040233R0FKED","R1_DC1, R2_DC1, R18_DIG0, R19_DIG0, R44_CG-R48_CG, R84_DC1, R85_DC1",Pref,7,WG4NN,?,CRCW040233R0FKED,?,WG4NN
"RES_PHOENIX_0402-499R,1%,1/16W,2MHFF,RC0402FR-07499RL","R11_F0_DIG0, R14_F0_DIG0, R17_F0_DIG0, R19_F0_DIG0, R68_F0_DIG0",Pref,5,2MHFF,?,RC0402FR-07499RL,?,2MHFF
"RES_PHOENIX_0402-4K75,1%,1/16W,DKC3K,RC0402FR-074K75L","R1_F0_DIG0, R1_F1_DIG0, R2_F0_DIG0, R2_F1_DIG0, R2_S0_DIG0, R2_S1_DIG0, R3_F1_DIG0, R4_S0_DIG0, R4_S1_DIG0, R5_F0_DIG0, R5_S0_DIG0, R5_S1_DIG0, R6_F0_DIG0, R7_F0_DIG0, R7_S0_DIG0, R7_S1_DIG0, R10_F0_DIG0, R12_F0_DIG0, R13_F0_DIG0, R15_F0_DIG0, R16_F0_DIG0, R18_F0_DIG0, R20_DIG0, R20_F0_DIG0, R21_F0_DIG0, R22_F0_DIG0, R22_F1_DIG0, R23_F0_DIG0, R24_F0_DIG0, R25_F0_DIG0, R26_F0_DIG0, R35_F0_DIG0, R36_F0_DIG0, R38_F0_DIG0, R39_DIG0, R41_F0_DIG0, R42_DIG0, R42_F0_DIG0, R48_F0_DIG0, R50_F0_DIG0, R52_F0_DIG0, R63_F1_DIG0, R69_F0_DIG0, R72_F1_DIG0, R73_F0_DIG0, R73_F1_DIG0, R74_F0_DIG0, R74_F1_DIG0, R76_F0_DIG0, R77_F0_DIG0, R78_F0_DIG0, R79_F0_DIG0, R84_F0_DIG0, R85_F0_DIG0, R86_F0_DIG0, R87_F0_DIG0, R88_F0_DIG0, R89_F0_DIG0, R114_DC1, R115_DC1, R116_DC1, R117_DC1",Pref,62,DKC3K,?,RC0402FR-074K75L,?,DKC3K
"RES_PHOENIX_0402-619R,1%,1/10W,N0GJ9,RK73H1ETTP6190F","R36_CG, R38_CG",Pref,2,N0GJ9,?,RK73H1ETTP6190F,?,N0GJ9
"RES_PHOENIX_0603-11K8,0.1%,1/8W,MP2PC,TNPW060311K8BEEA",R119_DC1,Pref,1,MP2PC,?,TNPW060311K8BEEA,?,MP2PC
"RES_PHOENIX_0603-18K7,0.1%,1/6W,2XKHM ,2-2176089-3",R127_DC1,Pref,1,2XKHM ,?,2-2176089-3,?,2XKHM
"RES_PHOENIX_0603-50R,2%,1.5W,XGR7G,RCP0603W50R0GEB","R3_F0_DIG0, R4_F0_DIG0",Pref,2,XGR7G,?,RCP0603W50R0GEB,?,XGR7G
"RES_PHOENIX_0805-120R,1%,1/8W,6RH09,RC0805FR-07120RL",R5_DIG0,Pref,1,6RH09,?,RC0805FR-07120RL,?,6RH09
"SI5518_QFN-SI5518B-B14110-GM,WYX2H,QFN50P1000X1000X90-73_DS,SILICON LABS",U1_CG,Pref,1,WYX2H,"IC,CLK-GEN,OTP,18OUT,5G,QFN72 ",SI5518B-B14110-GM,SILICON LABS,WYX2H
